Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
90029616,90029616,90029616,3687613071360,9185685.547,3009966718000,376245839750
90477504,90477504,90477504,3705958563840,9049507.8125,2965345187500,370668148437.5
90427968,90427968,90427968,3703929569280,9157964.844,3000884900500,375110612562.5
89497104,89497104,89497104,3665801379840,8589572.266,2814634436000,351829304500
91234992,91234992,91234992,3736985272320,8647736.328,2833694655500,354211831937.5
90613728,90613728,90613728,3711538298880,9153685.547,2999463501500,374932937687.5
90782976,90782976,90782976,3718470696960,8587757.8125,2814040612500,351755076562.5
91470288,91470288,91470288,3746622996480,9276143.555,3039607979500,379950997437.5
91734480,91734480,91734480,3757444300800,9153804.6875,2999523403500,374940425437.5
91779888,91779888,91779888,3759304212480,9155189.453,2999979174500,374997396812.5
