Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
858624,858624,858624,35169239040,87008.789,28511003000,3563875375
825600,825600,825600,33816576000,85793.945,28112841000,3514105125
854496,854496,854496,35000156160,67960.9375,22270150000,2783768750
866880,866880,866880,35507404800,86976.5625,28500042500,3562505312.5
854496,854496,854496,35000156160,86825.195,28450792500,3556349062.5
837984,837984,837984,34323824640,86487.305,28339408500,3542426062.5
860688,860688,860688,35253780480,86783.203,28437190000,3554648750
848304,848304,848304,34746531840,86704.102,28410527000,3551315875
850368,850368,850368,34831073280,87125,28548652500,3568581562.5
860688,860688,860688,35253780480,87033.203,28519184000,3564898000
