Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
330240,330240,330240,13526630400,31330.078,10266307500,1283288437.5
375648,375648,375648,15386542080,36875,12082690500,1510336312.5
350880,350880,350880,14372044800,34816.406,11408576000,1426072000
319920,319920,319920,13103923200,33699.219,11042939500,1380367437.5
342624,342624,342624,14033879040,30930.664,10134922000,1266865250
363264,363264,363264,14879293440,34732.422,11380500000,1422562500
346752,346752,346752,14202961920,34662.109,11357951000,1419743875
352944,352944,352944,14456586240,36045.898,11811325000,1476415625
357072,357072,357072,14625669120,37602.539,12321713000,1540214125
348816,348816,348816,14287503360,35225.586,11542251500,1442781437.5
