Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
282768,282768,282768,11582177280,31710.9375,10391438500,1298929812.5
301344,301344,301344,12343050240,31638.672,10367431500,1295928937.5
309600,309600,309600,12681216000,31737.305,10399798000,1299974750
307536,307536,307536,12596674560,22596.68,7404100000,925512500
315792,315792,315792,12934840320,31743.164,10401951000,1300243875
309600,309600,309600,12681216000,31700.195,10387643000,1298455375
301344,301344,301344,12343050240,31687.5,10383428000,1297928500
317856,317856,317856,13019381760,31739.258,10399895500,1299986937.5
309600,309600,309600,12681216000,31413.086,10293197000,1286649625
317856,317856,317856,13019381760,31732.422,10397864500,1299733062.5
