Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
49536,49536,49536,2028994560,4874.023,1596974500,199621812.5
49536,49536,49536,2028994560,4891.602,1603001500,200375187.5
49536,49536,49536,2028994560,4916.992,1611262000,201407750
45408,45408,45408,1859911680,4131.836,1353783000,169222875
49536,49536,49536,2028994560,4895.508,1603943000,200492875
47472,47472,47472,1944453120,4911.133,1609284500,201160562.5
49536,49536,49536,2028994560,4923.828,1613286500,201660812.5
47472,47472,47472,1944453120,4142.578,1357144000,169643000
43344,43344,43344,1775370240,4142.578,1357120500,169640062.5
45408,45408,45408,1859911680,4162.109,1363718500,170464812.5
