Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
18576,18576,18576,760872960,1645.508,539094000,67386750
16512,16512,16512,676331520,1662.109,544681000,68085125
16512,16512,16512,676331520,1626.953,533221500,66652687.5
16512,16512,16512,676331520,1653.32,541881500,67735187.5
16512,16512,16512,676331520,1673.828,548389000,68548625
16512,16512,16512,676331520,1630.859,534073500,66759187.5
16512,16512,16512,676331520,1419.922,465288500,58161062.5
16512,16512,16512,676331520,1633.789,534979500,66872437.5
18576,18576,18576,760872960,1762.695,577582000,72197750
16512,16512,16512,676331520,1613.281,528674000,66084250
