Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
43344,43344,43344,1775370240,4205.078,1377744000,172218000
43344,43344,43344,1775370240,4324.219,1416746000,177093250
41280,41280,41280,1690828800,4161.133,1363378000,170422250
41280,41280,41280,1690828800,4080.078,1336729000,167091125
43344,43344,43344,1775370240,4055.664,1329061500,166132687.5
41280,41280,41280,1690828800,4100.586,1343539000,167942375
41280,41280,41280,1690828800,4050.781,1327182000,165897750
41280,41280,41280,1690828800,4017.578,1315997500,164499687.5
41280,41280,41280,1690828800,4113.281,1347440500,168430062.5
43344,43344,43344,1775370240,4086.914,1339123000,167390375
