Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
45408,45408,45408,1859911680,4461.914,1461685000,182710625
45408,45408,45408,1859911680,4399.414,1441956500,180244562.5
45408,45408,45408,1859911680,4096.68,1343043000,167880375
45408,45408,45408,1859911680,4409.18,1445275500,180659437.5
45408,45408,45408,1859911680,4399.414,1441997000,180249625
45408,45408,45408,1859911680,4423.828,1449553000,181194125
45408,45408,45408,1859911680,4440.43,1455360500,181920062.5
45408,45408,45408,1859911680,4450.195,1457763500,182220437.5
45408,45408,45408,1859911680,4429.6875,1451398500,181424812.5
45408,45408,45408,1859911680,4454.102,1459818500,182477312.5
43344,43344,43344,1775370240,4458.008,1460113000,182514125
45408,45408,45408,1859911680,4422.852,1449804500,181225562.5
43344,43344,43344,1775370240,4158.203,1361506000,170188250
45408,45408,45408,1859911680,4416.016,1446972500,180871562.5
45408,45408,45408,1859911680,4432.617,1452867000,181608375
45408,45408,45408,1859911680,4413.086,1445629500,180703687.5
45408,45408,45408,1859911680,4421.875,1449117500,181139687.5
45408,45408,45408,1859911680,4417.969,1448187000,181023375
43344,43344,43344,1775370240,4430.664,1451707000,181463375
45408,45408,45408,1859911680,4422.852,1449791000,181223875
45408,45408,45408,1859911680,4454.102,1460044500,182505562.5
45408,45408,45408,1859911680,4436.523,1454051000,181756375
45408,45408,45408,1859911680,4377.93,1435043500,179380437.5
45408,45408,45408,1859911680,4417.969,1448181500,181022687.5
45408,45408,45408,1859911680,4409.18,1445220000,180652500
45408,45408,45408,1859911680,4385.742,1437172000,179646500
45408,45408,45408,1859911680,4446.289,1456664500,182083062.5
45408,45408,45408,1859911680,4110.352,1346730500,168341312.5
45408,45408,45408,1859911680,4458.008,1460745000,182593125
45408,45408,45408,1859911680,4409.18,1444953500,180619187.5
43344,43344,43344,1775370240,4096.68,1343006500,167875812.5
45408,45408,45408,1859911680,4399.414,1441954000,180244250
45408,45408,45408,1859911680,4409.18,1444966000,180620750
45408,45408,45408,1859911680,4443.359,1455820000,181977500
45408,45408,45408,1859911680,4409.18,1445027500,180628437.5
45408,45408,45408,1859911680,4458.984,1461107000,182638375
45408,45408,45408,1859911680,4391.602,1438830500,179853812.5
45408,45408,45408,1859911680,4436.523,1453783000,181722875
45408,45408,45408,1859911680,4458.984,1461535000,182691875
45408,45408,45408,1859911680,4399.414,1441546500,180193312.5
45408,45408,45408,1859911680,4442.383,1456123000,182015375
45408,45408,45408,1859911680,4458.008,1460655500,182581937.5
