Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
123840,123840,123840,5072486400,12314.453,4034445500,504305687.5
117648,117648,117648,4818862080,12304.6875,4031658500,503957312.5
119712,119712,119712,4903403520,12102.539,3965620500,495702562.5
111456,111456,111456,4565237760,12293.945,4027697500,503462187.5
121776,121776,121776,4987944960,12291.992,4027914500,503489312.5
115584,115584,115584,4734320640,12271.484,4021166500,502645812.5
123840,123840,123840,5072486400,12275.391,4023083000,502885375
119712,119712,119712,4903403520,12255.859,4015496000,501937000
123840,123840,123840,5072486400,12327.148,4038937000,504867125
123840,123840,123840,5072486400,12300.781,4030534000,503816750
