Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
431376,431376,431376,17669160960,44348.633,14531849000,1816481125
443760,443760,443760,18176409600,44562.5,14601882000,1825235250
435504,435504,435504,17838243840,40322.266,13212485500,1651560687.5
427248,427248,427248,17500078080,44463.867,14570186500,1821273312.5
445824,445824,445824,18260951040,43885.742,14380148500,1797518562.5
441696,441696,441696,18091868160,44421.875,14555711000,1819463875
445824,445824,445824,18260951040,44535.156,14593228500,1824153562.5
443760,443760,443760,18176409600,44515.625,14586369500,1823296187.5
441696,441696,441696,18091868160,44455.078,14567608500,1820951062.5
425184,425184,425184,17415536640,44524.414,14590246000,1823780750
