Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
449952,449952,449952,18430033920,46785.156,15330370500,1916296312.5
464400,464400,464400,19021824000,40217.773,13178089000,1647261125
458208,458208,458208,18768199680,44277.344,14508650500,1813581312.5
454080,454080,454080,18599116800,46334.961,15182680000,1897835000
447888,447888,447888,18345492480,40089.844,13136001500,1642000187.5
441696,441696,441696,18091868160,45576.172,14934397500,1866799687.5
480912,480912,480912,19698155520,47864.258,15684041000,1960505125
470592,470592,470592,19275448320,45857.422,15026178500,1878272312.5
456144,456144,456144,18683658240,47708.008,15633171500,1954146437.5
460272,460272,460272,18852741120,40676.758,13328735500,1666091937.5
