Counter Count,Source Count,Sink Count,Counter Byte Count,Counter Packet Rate (packets/s),Counter Bit Rate (bit/s),Counter Byte Rate (bytes/s)
445824,445824,445824,18260951040,43242.1875,14169452500,1771181562.5
441696,441696,441696,18091868160,43254.883,14173416500,1771677062.5
439632,439632,439632,18007326720,40587.891,13299752500,1662469062.5
435504,435504,435504,17838243840,43405.273,14223497000,1777937125
439632,439632,439632,18007326720,45475.586,14901366500,1862670812.5
439632,439632,439632,18007326720,44775.391,14671548500,1833943562.5
435504,435504,435504,17838243840,44004.883,14419199500,1802399937.5
441696,441696,441696,18091868160,43472.656,14244210500,1780526312.5
437568,437568,437568,17922785280,40507.8125,13273871500,1659233937.5
441696,441696,441696,18091868160,43996.094,14416663500,1802082937.5
441696,441696,441696,18091868160,44304.6875,14517595500,1814699437.5
443760,443760,443760,18176409600,43374.023,14212274000,1776534250
429312,429312,429312,17584619520,40581.055,13297172000,1662146500
435504,435504,435504,17838243840,44003.906,14419319000,1802414875
439632,439632,439632,18007326720,44768.555,14669504500,1833688062.5
441696,441696,441696,18091868160,43952.148,14402408500,1800301062.5
437568,437568,437568,17922785280,43009.766,14093403500,1761675437.5
441696,441696,441696,18091868160,43042.969,14104243500,1763030437.5
443760,443760,443760,18176409600,45396.484,14875393000,1859424125
435504,435504,435504,17838243840,43484.375,14249075000,1781134375
439632,439632,439632,18007326720,44679.6875,14640590000,1830073750
443760,443760,443760,18176409600,44161.133,14470379000,1808797375
433440,433440,433440,17753702400,43416.016,14226129500,1778266187.5
443760,443760,443760,18176409600,44797.852,14679315000,1834914375
443760,443760,443760,18176409600,44567.383,14603319000,1825414875
441696,441696,441696,18091868160,43217.773,14161254000,1770156750
435504,435504,435504,17838243840,39216.797,12850656500,1606332062.5
437568,437568,437568,17922785280,45194.336,14809089000,1851136125
441696,441696,441696,18091868160,45431.641,14886392000,1860799000
441696,441696,441696,18091868160,44759.766,14666732000,1833341500
443760,443760,443760,18176409600,45549.805,14925186500,1865648312.5
443760,443760,443760,18176409600,43779.297,14345125500,1793140687.5
443760,443760,443760,18176409600,45484.375,14904414500,1863051812.5
439632,439632,439632,18007326720,44015.625,14422640500,1802830062.5
443760,443760,443760,18176409600,43244.141,14169769000,1771221125
441696,441696,441696,18091868160,43848.633,14368201500,1796025187.5
443760,443760,443760,18176409600,43397.461,14220420000,1777552500
441696,441696,441696,18091868160,45455.078,14894413500,1861801687.5
443760,443760,443760,18176409600,44206.055,14485364500,1810670562.5
441696,441696,441696,18091868160,43623.047,14294095500,1786761937.5
445824,445824,445824,18260951040,43358.398,14207601000,1775950125
443760,443760,443760,18176409600,45463.867,14897074500,1862134312.5
441696,441696,441696,18091868160,43841.797,14365739500,1795717437.5
443760,443760,443760,18176409600,44960.9375,14732352500,1841544062.5
443760,443760,443760,18176409600,43982.422,14411930500,1801491312.5
443760,443760,443760,18176409600,45294.922,14842124500,1855265562.5
441696,441696,441696,18091868160,44827.148,14688681500,1836085187.5
439632,439632,439632,18007326720,43696.289,14317960500,1789745062.5
